# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 125.877 4622.58 -11703.9 -7081.33 0 -7081.33
1000 219.185 1216.32 4605.47 -7641.08 -3035.62 -4039.78 -7075.39
2000 196.995 1165.51 4139.21 -6583.13 -2443.92 -4626.24 -7070.17
3000 212.717 -501.045 4469.54 -6410.45 -1940.9 -5130.62 -7071.52
4000 228.519 334.517 4801.57 -6653.81 -1852.24 -5223.59 -7075.83
5000 223.106 70.1405 4687.84 -6459.3 -1771.46 -5304.6 -7076.06
6000 216.761 -370.508 4554.53 -6058.82 -1504.29 -5569.05 -7073.34
7000 212.34 -260.239 4461.62 -5900.99 -1439.36 -5633.5 -7072.86
8000 217.127 -40.7366 4562.21 -5932.69 -1370.48 -5703.67 -7074.16
9000 221.244 -261.12 4648.73 -5816.09 -1167.37 -5907.58 -7074.95
10000 219.461 -140.582 4611.26 -5622.97 -1011.71 -6062.45 -7074.16
11000 219.642 171.789 4615.06 -5441.48 -826.414 -6246.71 -7073.12
12000 215.136 -260.916 4520.38 -5329.32 -808.94 -6264.35 -7073.29
13000 220.878 -342.741 4641.03 -5285.85 -644.813 -6428.94 -7073.75
14000 222.878 -97.8855 4683.06 -5251.15 -568.095 -6505.72 -7073.81
15000 220.08 69.9839 4624.27 -5199.45 -575.182 -6498.26 -7073.44
16000 220.1 -234.499 4624.68 -5235.28 -610.597 -6462.89 -7073.49
17000 218.852 -523.241 4598.46 -5166.16 -567.702 -6506.17 -7073.88
18000 221.103 224.609 4645.75 -5290.41 -644.657 -6429.29 -7073.95
19000 218.384 -144.728 4588.62 -5223.11 -634.484 -6439.17 -7073.66
20000 219.52 -184.412 4612.49 -5289.98 -677.488 -6396.09 -7073.58
21000 217.177 -18.9066 4563.27 -5356.46 -793.192 -6280.49 -7073.68
22000 218.905 -101.867 4599.57 -5387.58 -788.007 -6285.66 -7073.67
23000 215.574 -28.2707 4529.58 -5332.84 -803.258 -6270.27 -7073.53
24000 219.509 -125.656 4612.27 -5415.94 -803.678 -6269.93 -7073.61
25000 220.533 -203.25 4633.78 -5430.01 -796.228 -6277.42 -7073.64
26000 219.431 -25.8557 4610.62 -5372.73 -762.109 -6311.52 -7073.63
27000 221.153 -153.033 4646.8 -5453.78 -806.977 -6266.61 -7073.59
28000 219.975 -49.0343 4622.05 -5473.57 -851.521 -6222.05 -7073.58
29000 219.245 221.634 4606.72 -5437.94 -831.216 -6242.41 -7073.62
30000 220.008 -81.8586 4622.76 -5556.47 -933.708 -6140.3 -7074
31000 223.961 -12.3628 4705.8 -5419.26 -713.46 -6360.75 -7074.21
32000 218.736 45.6189 4596.02 -5501.52 -905.505 -6168.61 -7074.12
33000 215.965 -18.2169 4537.8 -5443.27 -905.466 -6168.45 -7073.92
34000 222.483 -164.228 4674.75 -5463.09 -788.339 -6285.56 -7073.9
35000 221.188 116.694 4647.55 -5583.04 -935.488 -6138.92 -7074.41
36000 218.648 286.536 4594.17 -5634.84 -1040.68 -6033.58 -7074.26
37000 219.145 -128.863 4604.62 -5602.15 -997.538 -6077.08 -7074.62
38000 219.381 68.6763 4609.57 -5495.74 -886.172 -6187.75 -7073.92
39000 221.138 163.251 4646.49 -5543.23 -896.747 -6177.4 -7074.15
40000 219.887 31.2703 4620.21 -5546.31 -926.102 -6148.07 -7074.17
41000 220.577 -3.38196 4634.71 -5570.02 -935.311 -6138.73 -7074.04
42000 222.529 -82.2517 4675.72 -5553.35 -877.624 -6196.33 -7073.95
43000 225.177 138.876 4731.35 -5556.39 -825.037 -6248.94 -7073.98
44000 221.641 -34.4903 4657.06 -5587.04 -929.982 -6144.07 -7074.06
45000 219.773 -48.636 4617.8 -5570.54 -952.74 -6121.58 -7074.32
