# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -7.43849e-15 5.32907e-15 7.99361e-15 -7.19235e-20 5.15273e-20 7.72909e-20
1000 -1.42109e-14 -8.88178e-15 -1.42109e-14 -1.37406e-19 -8.58788e-20 -1.37406e-19
2000 1.77636e-15 -7.10543e-15 2.84217e-14 1.71758e-20 -6.8703e-20 2.74812e-19
3000 -1.55431e-15 3.9968e-15 1.77636e-14 -1.50288e-20 3.86455e-20 1.71758e-19
4000 -3.44169e-15 8.88178e-16 -5.32907e-15 -3.3278e-20 8.58788e-21 -5.15273e-20
5000 -4.55191e-15 -2.88658e-15 -7.10543e-15 -4.40129e-20 -2.79106e-20 -6.8703e-20
6000 -9.10383e-15 -6.55032e-15 1.42109e-14 -8.80258e-20 -6.33356e-20 1.37406e-19
7000 3.10862e-15 4.44089e-15 -1.95399e-14 3.00576e-20 4.29394e-20 -1.88933e-19
8000 6.21725e-15 5.32907e-15 7.10543e-15 6.01152e-20 5.15273e-20 6.8703e-20
9000 -3.9968e-15 -2.22045e-15 1.77636e-14 -3.86455e-20 -2.14697e-20 1.71758e-19
10000 -8.43769e-15 5.77316e-15 0 -8.15849e-20 5.58212e-20 0
11000 -5.55112e-15 1.77636e-15 -4.79616e-14 -5.36742e-20 1.71758e-20 -4.63745e-19
12000 -4.88498e-15 8.88178e-16 0 -4.72333e-20 8.58788e-21 0
13000 3.77476e-15 -7.99361e-15 5.32907e-15 3.64985e-20 -7.72909e-20 5.15273e-20
14000 3.44169e-15 6.66134e-15 2.30926e-14 3.3278e-20 6.44091e-20 2.23285e-19
15000 4.88498e-15 -1.06581e-14 -1.77636e-15 4.72333e-20 -1.03055e-19 -1.71758e-20
16000 -7.99361e-15 -1.06581e-14 2.4869e-14 -7.72909e-20 -1.03055e-19 2.40461e-19
17000 -3.55271e-15 1.11022e-16 -1.06581e-14 -3.43515e-20 1.07348e-21 -1.03055e-19
18000 6.66134e-16 -4.88498e-15 -1.06581e-14 6.44091e-21 -4.72333e-20 -1.03055e-19
19000 -2.88658e-15 -1.24345e-14 -7.10543e-15 -2.79106e-20 -1.2023e-19 -6.8703e-20
20000 7.99361e-15 6.66134e-15 9.32587e-15 7.72909e-20 6.44091e-20 9.01727e-20
21000 1.11022e-15 -9.10383e-15 7.54952e-15 1.07348e-20 -8.80258e-20 7.2997e-20
22000 7.99361e-15 8.43769e-15 -8.88178e-16 7.72909e-20 8.15849e-20 -8.58788e-21
23000 4.55191e-15 -4.88498e-15 0 4.40129e-20 -4.72333e-20 0
24000 -2.22045e-15 -2.22045e-16 -7.99361e-15 -2.14697e-20 -2.14697e-21 -7.72909e-20
