# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 239.065 4622.58 -11883 -7260.4 0 -7260.4
1000 221.033 1299.95 4644.28 -7839.85 -3195.56 -4059.04 -7254.61
2000 197.896 1407.86 4158.14 -6795.41 -2637.27 -4612.16 -7249.43
3000 209.692 -83.0966 4405.99 -6624.53 -2218.54 -5031.92 -7250.46
4000 223.923 160.403 4705.02 -6829.43 -2124.41 -5130.6 -7255.01
5000 222.801 -73.0756 4681.42 -6735.49 -2054.07 -5201.3 -7255.37
6000 215.55 -15.3174 4529.08 -6275.63 -1746.55 -5506.16 -7252.71
7000 212.119 -76.2278 4456.98 -6078.93 -1621.95 -5630.07 -7252.02
8000 215.766 -247.028 4533.62 -5952.39 -1418.77 -5834.29 -7253.06
9000 219.009 -141.937 4601.76 -5800.67 -1198.9 -6054.53 -7253.43
10000 219.796 -81.3314 4618.3 -5647.12 -1028.83 -6223.81 -7252.63
11000 216.612 -481.137 4551.39 -5318.05 -766.658 -6485.34 -7252
12000 216.098 -322.096 4540.59 -5258.2 -717.606 -6534.41 -7252.02
13000 223.392 -398.051 4693.86 -5196.65 -502.794 -6749.37 -7252.17
14000 221.125 -232.401 4646.23 -5113.14 -466.915 -6785.09 -7252.01
15000 221.355 -68.2344 4651.05 -5119.86 -468.807 -6783.18 -7251.98
16000 219.37 78.8938 4609.33 -5085.52 -476.19 -6775.62 -7251.81
17000 217.48 -189.938 4569.62 -5003.56 -433.936 -6817.87 -7251.8
18000 218.233 -313.694 4585.45 -5059.86 -474.409 -6777.19 -7251.6
19000 219.445 -281.239 4610.92 -5111.23 -500.315 -6751.41 -7251.73
20000 218.448 -96.7852 4589.97 -5105.08 -515.112 -6736.64 -7251.75
21000 217.827 108.431 4576.93 -5173.7 -596.764 -6655.24 -7252
22000 219.767 28.0073 4617.69 -5279 -661.31 -6590.64 -7251.95
23000 219.359 -181.565 4609.11 -5332.53 -723.422 -6528.67 -7252.09
24000 220.527 -178.705 4633.65 -5368.92 -735.27 -6517.26 -7252.53
25000 223.209 -105.914 4690.01 -5429.04 -739.03 -6513.01 -7252.04
26000 219.14 172.703 4604.51 -5330.92 -726.401 -6525.59 -7251.99
27000 221.242 147.22 4648.68 -5446.43 -797.747 -6454.52 -7252.27
28000 220.168 24.9591 4626.11 -5445.29 -819.178 -6433.18 -7252.35
29000 219.204 -62.7916 4605.85 -5448.67 -842.817 -6409.44 -7252.25
30000 218.455 187.801 4590.13 -5543.67 -953.542 -6298.72 -7252.26
31000 220.955 -3.7727 4642.66 -5443.24 -800.585 -6451.69 -7252.27
