# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
0 220 307.579 4622.58 -12038.7 -7416.12 0 -7416.12
1000 223.504 1674 4696.21 -8040.82 -3344.61 -4065.71 -7410.32
2000 198.369 1331.6 4168.07 -6991.4 -2823.32 -4581.75 -7405.07
3000 212.1 -178.033 4456.59 -6869.73 -2413.14 -4993.36 -7406.5
4000 226.628 266.728 4761.85 -7123.34 -2361.49 -5048.83 -7410.32
5000 222.504 141.869 4675.19 -6911.83 -2236.64 -5174.13 -7410.78
6000 217.033 -22.8016 4560.24 -6448.55 -1888.31 -5520 -7408.31
7000 210.163 -343.182 4415.88 -6127.41 -1711.53 -5695.82 -7407.35
8000 215.478 -360.979 4527.56 -6062.43 -1534.86 -5873.64 -7408.51
9000 221.343 -353.431 4650.8 -5860.78 -1209.98 -6198.64 -7408.62
10000 219.036 -335.784 4602.33 -5609.5 -1007.17 -6400.92 -7408.09
11000 218.317 -151.128 4587.21 -5388.77 -801.554 -6605.87 -7407.43
12000 217.796 -99.588 4576.28 -5358.27 -781.997 -6625.63 -7407.63
13000 222.94 -214.035 4684.36 -5202.45 -518.098 -6889.49 -7407.59
14000 223.775 -259.68 4701.89 -5236.36 -534.469 -6873.12 -7407.59
15000 221.92 -154.89 4662.93 -5150.45 -487.52 -6919.82 -7407.34
16000 219.572 -304.864 4613.58 -5159.59 -546.014 -6861.5 -7407.52
17000 221.282 -119.497 4649.52 -5175.44 -525.919 -6881.64 -7407.56
18000 221.176 -1.83101 4647.3 -5266.03 -618.735 -6788.74 -7407.47
19000 219.198 -137.892 4605.72 -5284.94 -679.217 -6727.93 -7407.15
20000 220.201 1.41888 4626.8 -5362.76 -735.963 -6671.44 -7407.41
21000 217.835 -3.88568 4577.09 -5486.53 -909.438 -6498.07 -7407.51
22000 217.406 -89.646 4568.07 -5528.91 -960.833 -6446.85 -7407.69
23000 218.044 37.215 4581.49 -5635.76 -1054.28 -6353.56 -7407.84
24000 219.041 109.021 4602.43 -5664.76 -1062.33 -6345.42 -7407.75
25000 222.808 218.709 4681.59 -5695.93 -1014.35 -6393.33 -7407.68
26000 221.114 -122.637 4645.99 -5676.08 -1030.09 -6377.51 -7407.59
27000 219.995 -2.3179 4622.47 -5638.03 -1015.57 -6392.2 -7407.77
28000 220.524 -87.215 4633.58 -5628.02 -994.441 -6413.21 -7407.65
29000 220.632 -148.207 4635.86 -5573.87 -938.007 -6469.63 -7407.64
30000 216.707 130.35 4553.4 -5574.04 -1020.64 -6387.01 -7407.65
31000 221.367 214.368 4651.3 -5450.5 -799.195 -6608.18 -7407.38
32000 216.912 -171.472 4557.71 -5488.57 -930.861 -6476.58 -7407.45
33000 219.375 35.2659 4609.45 -5528.06 -918.609 -6489.15 -7407.76
34000 220.694 2.44187 4637.15 -5388.46 -751.31 -6655.93 -7407.24
35000 219.816 159.67 4618.71 -5474.83 -856.123 -6551.38 -7407.5
36000 219.034 119.844 4602.29 -5573.82 -971.527 -6435.73 -7407.26
37000 219.383 -17.1549 4609.62 -5564.55 -954.934 -6452.58 -7407.51
38000 220.838 -226.357 4640.19 -5488.83 -848.637 -6558.55 -7407.18
39000 220.556 151.409 4634.26 -5495.68 -861.426 -6545.76 -7407.18
40000 218.346 99.5659 4587.83 -5483.65 -895.82 -6511.41 -7407.23
41000 222.046 117.672 4665.57 -5519.56 -853.995 -6553.35 -7407.34
42000 220.247 -356.038 4627.78 -5421.03 -793.249 -6613.94 -7407.19
43000 224.211 194.118 4711.06 -5413.13 -702.065 -6705.15 -7407.22
44000 219.729 -189.703 4616.88 -5422.25 -805.371 -6601.78 -7407.15
45000 219.091 -186.61 4603.48 -5410.04 -806.566 -6600.63 -7407.2
46000 218.656 -15.3723 4594.33 -5343.33 -749 -6657.94 -7406.94
47000 221.368 -180.433 4651.33 -5388.05 -736.719 -6670.12 -7406.84
48000 224.998 -312.364 4727.59 -5472.79 -745.205 -6661.99 -7407.19
49000 219.12 68.7192 4604.09 -5448.73 -844.642 -6562.53 -7407.17
50000 222.115 218.165 4667.02 -5491.72 -824.703 -6582.42 -7407.12
51000 219.279 -197.21 4607.43 -5545.08 -937.645 -6469.63 -7407.28
52000 221.148 42.3477 4646.7 -5541.42 -894.725 -6512.53 -7407.26
53000 217.545 262.583 4570.99 -5473.37 -902.381 -6504.9 -7407.28
54000 221.133 121.172 4646.38 -5457.24 -810.863 -6596.31 -7407.17
55000 215.188 153.527 4521.48 -5524.15 -1002.67 -6404.78 -7407.44
56000 218.076 74.9812 4582.15 -5497 -914.851 -6492.27 -7407.12
57000 220.652 -278.545 4636.27 -5484.32 -848.047 -6558.49 -7406.54
58000 220.896 294.99 4641.4 -5532.45 -891.058 -6516.2 -7407.26
59000 219.645 286.073 4615.11 -5563.78 -948.664 -6458.67 -7407.34
60000 215.375 -168.383 4525.4 -5530.37 -1004.98 -6402.09 -7407.07
61000 221.117 45.7687 4646.06 -5546.78 -900.721 -6506.16 -7406.88
62000 217.784 170.576 4576.01 -5493.69 -917.673 -6489.26 -7406.93
63000 218.477 -261.821 4590.57 -5520.66 -930.088 -6477.18 -7407.27
64000 225.952 -18.9552 4747.65 -5496.52 -748.87 -6658.22 -7407.09
65000 218.935 -44.0207 4600.21 -5409.66 -809.442 -6597.07 -7406.51
66000 216.087 178.269 4540.37 -5477.99 -937.627 -6469.17 -7406.8
67000 217.813 -23.8715 4576.62 -5514.31 -937.686 -6469.53 -7407.22
68000 217.119 -147.515 4562.05 -5441.05 -879 -6527.97 -7406.97
69000 221.376 -62.1382 4651.49 -5405.8 -754.308 -6652.67 -7406.97
70000 222.071 -361.283 4666.1 -5331.9 -665.8 -6741.3 -7407.1
71000 224.485 -67.7468 4716.81 -5398.63 -681.817 -6725.33 -7407.15
72000 217.953 -276.326 4579.58 -5386.49 -806.913 -6600.16 -7407.07
73000 218.725 -124.956 4595.78 -5446.01 -850.231 -6556.67 -7406.9
74000 221.164 -63.4808 4647.03 -5360.26 -713.23 -6693.74 -7406.97
75000 219.878 227.464 4620.01 -5529.46 -909.456 -6497.67 -7407.12
76000 220.58 -145.67 4634.76 -5578.05 -943.286 -6463.95 -7407.23
77000 217.366 -125.19 4567.24 -5530.39 -963.147 -6444.48 -7407.62
78000 217.805 24.4086 4576.46 -5458.24 -881.776 -6525.48 -7407.26
79000 218.042 99.1571 4581.45 -5514.93 -933.485 -6474.08 -7407.56
80000 218.548 60.1487 4592.08 -5487.68 -895.597 -6511.92 -7407.52
81000 219.452 -57.972 4611.07 -5505.64 -894.573 -6513 -7407.57
82000 222.799 328.52 4681.4 -5453.83 -772.429 -6635.17 -7407.6
83000 219.327 -170.978 4608.45 -5437.6 -829.149 -6578.85 -7408
84000 218.784 -233.1 4597.04 -5417.98 -820.943 -6586.41 -7407.36
85000 218.64 98.8318 4593.99 -5430.98 -836.985 -6570.23 -7407.22
86000 218.936 75.8404 4600.22 -5477.57 -877.344 -6530.18 -7407.52
87000 223.987 243.972 4706.36 -5475.4 -769.036 -6638.58 -7407.62
88000 221.108 -171.88 4645.86 -5442.92 -797.055 -6610.3 -7407.35
89000 218.796 -316.143 4597.29 -5450.01 -852.722 -6554.43 -7407.16
90000 219.963 -66.5804 4621.81 -5509.67 -887.865 -6519.81 -7407.68
91000 218.76 -108.77 4596.54 -5449.04 -852.502 -6555.08 -7407.58
92000 223.058 66.8959 4686.84 -5426.76 -739.929 -6667.43 -7407.36
93000 218.556 58.1115 4592.23 -5440.85 -848.625 -6558.78 -7407.41
94000 218.164 -111.148 4584 -5378.14 -794.144 -6613.36 -7407.5
95000 218.322 33.9656 4587.32 -5381.01 -793.688 -6614.02 -7407.71
96000 219.327 -95.7019 4608.45 -5487.76 -879.318 -6528.63 -7407.94
97000 221.482 -80.0817 4653.71 -5418.62 -764.912 -6642.99 -7407.91
98000 220.043 -117.582 4623.48 -5408.39 -784.916 -6622.67 -7407.59
99000 218.67 42.3147 4594.64 -5469.34 -874.702 -6533.08 -7407.78
100000 218.97 78.4737 4600.93 -5483.89 -882.956 -6525.25 -7408.21
101000 220.975 -268.208 4643.07 -5491.71 -848.638 -6559.52 -7408.15
102000 216.655 -14.0797 4552.29 -5432.97 -880.677 -6527.29 -7407.96
103000 224.052 194.066 4707.72 -5449.15 -741.429 -6666.6 -7408.03
104000 221.486 -87.5255 4653.81 -5447.48 -793.673 -6614.42 -7408.09
105000 222.159 19.2834 4667.94 -5436.28 -768.333 -6639.39 -7407.73
106000 218.864 -293.701 4598.71 -5468.2 -869.489 -6537.96 -7407.45
107000 218.08 -166.64 4582.23 -5437.34 -855.107 -6552.35 -7407.45
108000 221.613 219.319 4656.47 -5443.43 -786.955 -6620.59 -7407.55
109000 217.365 302.243 4567.22 -5461.42 -894.196 -6513.61 -7407.81
110000 219.75 -268.495 4617.32 -5443.9 -826.581 -6581.21 -7407.79
111000 221.388 -86.2813 4651.75 -5518.66 -866.906 -6540.66 -7407.57
112000 218.348 281.504 4587.86 -5481.81 -893.949 -6513.67 -7407.62
113000 217.466 -90.6002 4569.35 -5614.72 -1045.37 -6362.69 -7408.07
114000 223.44 -77.1829 4694.86 -5503.66 -808.792 -6598.75 -7407.55
115000 218.866 -148.382 4598.74 -5467.61 -868.866 -6538.59 -7407.46
116000 222.45 6.29832 4674.06 -5515.11 -841.05 -6566.59 -7407.64
117000 222.444 79.3543 4673.93 -5514.36 -840.433 -6567 -7407.44
118000 218.784 -347.046 4597.04 -5517.74 -920.704 -6486.75 -7407.46
119000 221.382 -57.8007 4651.62 -5545.23 -893.617 -6513.8 -7407.42
120000 223.258 -108.168 4691.05 -5513.85 -822.805 -6584.63 -7407.44
121000 221.218 -195.474 4648.18 -5614.85 -966.669 -6440.26 -7406.93
122000 219.93 14.1023 4621.11 -5648.62 -1027.51 -6379.64 -7407.16
123000 225.422 25.936 4736.51 -5611.7 -875.19 -6532.01 -7407.2
124000 219.736 28.8597 4617.04 -5622.36 -1005.31 -6402.06 -7407.37
125000 219.108 44.3857 4603.84 -5706.64 -1102.8 -6304.34 -7407.14
126000 221.31 -228.146 4650.11 -5783.73 -1133.62 -6273.77 -7407.38
127000 221.206 -190.688 4647.91 -5815.36 -1167.45 -6239.81 -7407.26
128000 222.226 357.379 4669.35 -5800.52 -1131.17 -6276.32 -7407.49
129000 216.602 120.477 4551.19 -5792.11 -1240.92 -6166.21 -7407.13
130000 223.341 159.563 4692.78 -5758.24 -1065.46 -6341.9 -7407.37
131000 225.477 35.8271 4737.66 -5759.38 -1021.73 -6385.82 -7407.55
132000 220.028 -141.543 4623.16 -5831.09 -1207.93 -6199.36 -7407.29
133000 219.406 218.4 4610.1 -5885.09 -1274.98 -6132.63 -7407.61
134000 215.237 -2.02595 4522.5 -5839.25 -1316.76 -6090.53 -7407.29
135000 217.333 97.0426 4566.55 -5842.52 -1275.97 -6131.28 -7407.25
136000 223.558 168.235 4697.35 -5849.5 -1152.16 -6254.83 -7406.99
137000 219.956 43.8498 4621.66 -5827.16 -1205.5 -6201.52 -7407.02
138000 221.227 138.452 4648.36 -5879.64 -1231.28 -6176.07 -7407.35
139000 222.743 98.0029 4680.22 -5836.5 -1156.28 -6250.97 -7407.24
