# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -8.88178e-16 1.16573e-14 8.88178e-16 -8.58788e-21 1.12716e-19 8.58788e-21
1000 -5.32907e-15 1.67644e-14 -7.99361e-15 -5.15273e-20 1.62096e-19 -7.72909e-20
2000 -9.32587e-15 -1.02141e-14 4.30767e-14 -9.01727e-20 -9.87606e-20 4.16512e-19
3000 -7.10543e-15 5.10703e-15 -2.84217e-14 -6.8703e-20 4.93803e-20 -2.74812e-19
4000 6.66134e-16 -1.64313e-14 -9.05942e-14 6.44091e-21 -1.58876e-19 -8.75964e-19
5000 -4.44089e-15 -6.66134e-15 2.84217e-14 -4.29394e-20 -6.44091e-20 2.74812e-19
6000 2.22045e-15 4.66294e-15 1.59872e-14 2.14697e-20 4.50864e-20 1.54582e-19
7000 -1.28786e-14 2.22045e-16 1.24345e-14 -1.24524e-19 2.14697e-21 1.2023e-19
8000 8.88178e-15 -8.88178e-15 1.06581e-14 8.58788e-20 -8.58788e-20 1.03055e-19
9000 -1.02141e-14 -7.10543e-15 -3.55271e-15 -9.87606e-20 -6.8703e-20 -3.43515e-20
10000 8.21565e-15 7.54952e-15 -4.44089e-14 7.94379e-20 7.2997e-20 -4.29394e-19
11000 -2.22045e-15 1.44329e-14 1.59872e-14 -2.14697e-20 1.39553e-19 1.54582e-19
12000 5.77316e-15 -4.10783e-15 2.04281e-14 5.58212e-20 -3.97189e-20 1.97521e-19
13000 -3.9968e-15 1.77636e-15 -7.99361e-15 -3.86455e-20 1.71758e-20 -7.72909e-20
14000 1.42109e-14 0 1.59872e-14 1.37406e-19 0 1.54582e-19
15000 3.10862e-15 -7.99361e-15 -2.66454e-15 3.00576e-20 -7.72909e-20 -2.57636e-20
16000 1.26565e-14 -6.66134e-15 7.99361e-15 1.22377e-19 -6.44091e-20 7.72909e-20
17000 -2.22045e-16 1.59872e-14 -8.88178e-15 -2.14697e-21 1.54582e-19 -8.58788e-20
18000 7.99361e-15 -2.66454e-15 -1.53211e-14 7.72909e-20 -2.57636e-20 -1.48141e-19
19000 -6.21725e-15 -7.54952e-15 -4.44089e-15 -6.01152e-20 -7.2997e-20 -4.29394e-20
20000 1.15463e-14 3.9968e-15 -1.90958e-14 1.11642e-19 3.86455e-20 -1.84639e-19
21000 -9.76996e-15 1.33227e-15 5.32907e-15 -9.44667e-20 1.28818e-20 5.15273e-20
22000 -4.4964e-15 7.77156e-15 1.68754e-14 -4.34761e-20 7.51439e-20 1.6317e-19
23000 -1.44329e-14 0 1.9984e-15 -1.39553e-19 0 1.93227e-20
