# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -9.32587e-15 3.9968e-15 5.32907e-15 -9.01727e-20 3.86455e-20 5.15273e-20
1000 -1.19904e-14 -1.13243e-14 1.59872e-14 -1.15936e-19 -1.09495e-19 1.54582e-19
2000 6.21725e-15 -8.88178e-16 8.88178e-15 6.01152e-20 -8.58788e-21 8.58788e-20
3000 8.32667e-15 4.88498e-15 -1.04805e-13 8.05114e-20 4.72333e-20 -1.01337e-18
4000 -1.42109e-14 -1.28786e-14 -5.32907e-14 -1.37406e-19 -1.24524e-19 -5.15273e-19
5000 -5.32907e-15 -9.32587e-15 6.03961e-14 -5.15273e-20 -9.01727e-20 5.83976e-19
6000 3.9968e-15 -3.9968e-15 2.30926e-14 3.86455e-20 -3.86455e-20 2.23285e-19
7000 3.10862e-15 3.9968e-15 -1.59872e-14 3.00576e-20 3.86455e-20 -1.54582e-19
8000 3.77476e-15 -9.10383e-15 5.32907e-15 3.64985e-20 -8.80258e-20 5.15273e-20
9000 1.77636e-15 -6.77236e-15 4.79616e-14 1.71758e-20 -6.54826e-20 4.63745e-19
10000 4.44089e-15 -3.55271e-15 -1.42109e-14 4.29394e-20 -3.43515e-20 -1.37406e-19
11000 -1.15463e-14 -1.55431e-15 5.50671e-14 -1.11642e-19 -1.50288e-20 5.32449e-19
12000 2.33147e-15 0 3.55271e-14 2.25432e-20 0 3.43515e-19
13000 3.71925e-15 -8.32667e-15 -3.01981e-14 3.59617e-20 -8.05114e-20 -2.91988e-19
14000 -8.88178e-15 1.31006e-14 5.32907e-15 -8.58788e-20 1.26671e-19 5.15273e-20
15000 -1.55431e-14 3.9968e-15 1.5099e-14 -1.50288e-19 3.86455e-20 1.45994e-19
16000 -2.22045e-15 8.88178e-15 4.44089e-15 -2.14697e-20 8.58788e-20 4.29394e-20
17000 -8.88178e-15 -2.66454e-15 9.76996e-15 -8.58788e-20 -2.57636e-20 9.44667e-20
18000 -5.77316e-15 2.66454e-15 -3.41949e-14 -5.58212e-20 2.57636e-20 -3.30633e-19
19000 -5.21805e-15 1.44329e-14 -3.90799e-14 -5.04538e-20 1.39553e-19 -3.77867e-19
20000 -2.66454e-15 5.10703e-15 1.77636e-14 -2.57636e-20 4.93803e-20 1.71758e-19
21000 3.9968e-15 -8.88178e-15 -1.06581e-14 3.86455e-20 -8.58788e-20 -1.03055e-19
22000 4.44089e-15 2.498e-15 3.55271e-15 4.29394e-20 2.41534e-20 3.43515e-20
23000 -3.55271e-15 1.77636e-15 -1.86517e-14 -3.43515e-20 1.71758e-20 -1.80345e-19
24000 8.54872e-15 4.77396e-15 1.5099e-14 8.26583e-20 4.61598e-20 1.45994e-19
25000 6.88338e-15 -2.77556e-14 4.44089e-15 6.65561e-20 -2.68371e-19 4.29394e-20
26000 4.44089e-15 -8.88178e-16 2.93099e-14 4.29394e-20 -8.58788e-21 2.834e-19
27000 -3.10862e-15 7.54952e-15 8.88178e-15 -3.00576e-20 7.2997e-20 8.58788e-20
28000 -3.77476e-15 7.32747e-15 -8.88178e-15 -3.64985e-20 7.085e-20 -8.58788e-20
29000 3.9968e-15 -2.22045e-15 3.77476e-15 3.86455e-20 -2.14697e-20 3.64985e-20
30000 0 -1.53211e-14 -5.44009e-15 0 -1.48141e-19 -5.26008e-20
31000 9.99201e-16 -5.32907e-15 -8.88178e-15 9.66136e-21 -5.15273e-20 -8.58788e-20
32000 4.44089e-16 -5.32907e-15 -1.06581e-14 4.29394e-21 -5.15273e-20 -1.03055e-19
33000 4.44089e-16 1.03251e-14 1.28786e-14 4.29394e-21 9.98341e-20 1.24524e-19
34000 3.55271e-15 -5.10703e-15 -7.10543e-15 3.43515e-20 -4.93803e-20 -6.8703e-20
35000 -8.88178e-16 -2.22045e-15 1.11022e-14 -8.58788e-21 -2.14697e-20 1.07348e-19
36000 7.10543e-15 5.77316e-15 -7.54952e-15 6.8703e-20 5.58212e-20 -7.2997e-20
37000 -6.66134e-15 5.32907e-15 -6.43929e-15 -6.44091e-20 5.15273e-20 -6.22621e-20
38000 1.77636e-15 1.24345e-14 1.15463e-14 1.71758e-20 1.2023e-19 1.11642e-19
39000 -9.32587e-15 -4.44089e-15 -9.32587e-15 -9.01727e-20 -4.29394e-20 -9.01727e-20
40000 6.43929e-15 5.32907e-15 1.15463e-14 6.22621e-20 5.15273e-20 1.11642e-19
41000 -1.02141e-14 -1.77636e-15 8.88178e-16 -9.87606e-20 -1.71758e-20 8.58788e-21
42000 4.44089e-15 5.32907e-15 -1.33227e-15 4.29394e-20 5.15273e-20 -1.28818e-20
43000 -9.76996e-15 -4.21885e-15 2.22045e-16 -9.44667e-20 -4.07924e-20 2.14697e-21
44000 1.5099e-14 4.996e-15 1.33227e-15 1.45994e-19 4.83068e-20 1.28818e-20
45000 -8.88178e-16 3.77476e-15 1.19904e-14 -8.58788e-21 3.64985e-20 1.15936e-19
46000 -5.32907e-15 -8.43769e-15 3.10862e-15 -5.15273e-20 -8.15849e-20 3.00576e-20
47000 -2.22045e-15 5.32907e-15 2.06501e-14 -2.14697e-20 5.15273e-20 1.99668e-19
48000 1.88738e-15 2.66454e-15 -1.28786e-14 1.82492e-20 2.57636e-20 -1.24524e-19
49000 4.44089e-15 6.21725e-15 -5.32907e-15 4.29394e-20 6.01152e-20 -5.15273e-20
50000 -5.9952e-15 0 9.32587e-15 -5.79682e-20 0 9.01727e-20
51000 -4.88498e-15 -3.55271e-15 -8.88178e-16 -4.72333e-20 -3.43515e-20 -8.58788e-21
