# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
0 -4.88498e-15 1.33227e-15 4.4964e-15 -4.72333e-20 1.28818e-20 4.34761e-20
1000 2.66454e-15 -3.77476e-15 1.06581e-14 2.57636e-20 -3.64985e-20 1.03055e-19
2000 -1.11022e-14 -7.99361e-15 -4.58522e-14 -1.07348e-19 -7.72909e-20 -4.43349e-19
3000 7.32747e-15 -1.55431e-15 6.57252e-14 7.085e-20 -1.50288e-20 6.35503e-19
4000 -3.33067e-15 2.04281e-14 6.72795e-14 -3.22045e-20 1.97521e-19 6.50532e-19
5000 -6.43929e-15 2.88658e-15 -1.9984e-15 -6.22621e-20 2.79106e-20 -1.93227e-20
6000 1.77636e-15 -1.72917e-14 -1.22125e-14 1.71758e-20 -1.67195e-19 -1.18083e-19
7000 -2.10942e-15 -6.21725e-15 4.04121e-14 -2.03962e-20 -6.01152e-20 3.90748e-19
8000 -1.14353e-14 -4.44089e-16 -4.35207e-14 -1.10569e-19 -4.29394e-21 -4.20806e-19
9000 -1.68754e-14 7.77156e-15 4.44089e-16 -1.6317e-19 7.51439e-20 4.29394e-21
10000 8.88178e-16 2.33147e-14 6.88338e-15 8.58788e-21 2.25432e-19 6.65561e-20
11000 8.88178e-16 -1.06581e-14 3.81917e-14 8.58788e-21 -1.03055e-19 3.69279e-19
12000 2.77556e-15 1.44329e-14 -5.55112e-14 2.68371e-20 1.39553e-19 -5.36742e-19
13000 -5.82867e-15 -1.39888e-14 -7.54952e-15 -5.6358e-20 -1.35259e-19 -7.2997e-20
14000 -1.55431e-15 2.26485e-14 5.70655e-14 -1.50288e-20 2.18991e-19 5.51771e-19
15000 -2.22045e-15 -9.76996e-15 -1.95399e-14 -2.14697e-20 -9.44667e-20 -1.88933e-19
16000 1.02141e-14 -8.43769e-15 -3.33067e-16 9.87606e-20 -8.15849e-20 -3.22045e-21
17000 1.33227e-14 1.64313e-14 -2.77556e-15 1.28818e-19 1.58876e-19 -2.68371e-20
18000 -1.02141e-14 -2.66454e-15 -1.33227e-15 -9.87606e-20 -2.57636e-20 -1.28818e-20
19000 -3.9968e-15 6.21725e-15 -4.44089e-16 -3.86455e-20 6.01152e-20 -4.29394e-21
20000 1.9984e-15 4.996e-15 -3.9968e-15 1.93227e-20 4.83068e-20 -3.86455e-20
